yahoo_player_id,yahoo_name,team_abbr,mlb_person_id,mlb_name,mlb_pos,notes
6615,Ichiro Suzuki,N/A,400085,Ichiro Suzuki,OF,sfbb_playeridmap
6618,Ben Sheets,N/A,282656,Ben Sheets,P,sfbb_playeridmap
6619,Albert Pujols,STL,405395,Albert Pujols,1B,sfbb_playeridmap
6620,Jon Rauch,N/A,400010,Jon Rauch,P,sfbb_playeridmap
6621,Carlos Pena,N/A,150289,Carlos Pena,1B,sfbb_playeridmap
6626,Jack Cust,N/A,400091,Jack Cust,OF,sfbb_playeridmap
6636,Willie Bloomquist,N/A,217100,Willie Bloomquist,2B,sfbb_playeridmap
6637,Michael Cuddyer,N/A,150212,Michael Cuddyer,OF,sfbb_playeridmap
6639,Lyle Overbay,N/A,407489,Lyle Overbay,1B,sfbb_playeridmap
6641,Darnell McDonald,N/A,150021,Darnell McDonald,OF,sfbb_playeridmap
6645,Eric Hinske,N/A,400134,Eric Hinske,OF,sfbb_playeridmap
6646,Roy Oswalt,N/A,400061,Roy Oswalt,P,sfbb_playeridmap
6659,Joaquin Benoit,N/A,276542,Joaquin Benoit,P,sfbb_playeridmap
6662,Rafael Soriano,N/A,400089,Rafael Soriano,P,sfbb_playeridmap
6679,Josh Hamilton,N/A,285078,Josh Hamilton,OF,sfbb_playeridmap
6681,Brandon Inge,N/A,276346,Brandon Inge,3B,sfbb_playeridmap
6688,David Eckstein,N/A,275930,David Eckstein,SS,sfbb_playeridmap
6698,Juan Uribe,N/A,346874,Juan Uribe,3B,sfbb_playeridmap
6708,R.A. Dickey,N/A,285079,R.A. Dickey,P,sfbb_playeridmap
6733,Endy Chavez,N/A,346795,Endy Chavez,OF,sfbb_playeridmap
6735,Brian Fuentes,N/A,150118,Brian Fuentes,P,sfbb_playeridmap
6741,Brian Roberts,N/A,406878,Brian Roberts,2B,sfbb_playeridmap
6742,Aaron Rowand,N/A,400023,Aaron Rowand,OF,sfbb_playeridmap
6751,Kyle Lohse,N/A,346798,Kyle Lohse,P,sfbb_playeridmap
6763,Adam Dunn,N/A,276055,Adam Dunn,1B,sfbb_playeridmap
6765,Grant Balfour,N/A,346797,Grant Balfour,P,sfbb_playeridmap
6767,Justin Duchscherer,N/A,407113,Justin Duchscherer,P,sfbb_playeridmap
6775,Brandon Lyon,N/A,407193,Brandon Lyon,P,sfbb_playeridmap
6788,Mark Teixeira,N/A,407893,Mark Teixeira,1B,sfbb_playeridmap
6793,Nick Punto,N/A,346857,Nick Punto,2B,sfbb_playeridmap
6795,Yorvit Torrealba,N/A,150275,Yorvit Torrealba,C,sfbb_playeridmap
6805,Juan Rivera,N/A,407487,Juan Rivera,OF,sfbb_playeridmap
6811,Wilson Betemit,N/A,400140,Wilson Betemit,3B,sfbb_playeridmap
6851,Austin Kearns,N/A,400290,Austin Kearns,OF,sfbb_playeridmap
6853,Victor Martinez,N/A,400121,Victor Martinez,DH,sfbb_playeridmap
6857,Brandon Phillips,N/A,408252,Brandon Phillips,2B,sfbb_playeridmap
6862,Ryan Ludwick,N/A,407886,Ryan Ludwick,OF,sfbb_playeridmap
6863,Marlon Byrd,N/A,407781,Marlon Byrd,OF,sfbb_playeridmap
6864,Brett Myers,N/A,408206,Brett Myers,P,sfbb_playeridmap
6870,Carl Crawford,N/A,408307,Carl Crawford,OF,sfbb_playeridmap
6872,Jake Peavy,N/A,408241,Jake Peavy,P,sfbb_playeridmap
6873,Jerome Williams,N/A,425532,Jerome Williams,P,sfbb_playeridmap
6875,Orlando Hudson,N/A,407861,Orlando Hudson,2B,sfbb_playeridmap
6880,Carlos Silva,N/A,400067,Carlos Silva,P,sfbb_playeridmap
6883,Jeremy Affeldt,N/A,346793,Jeremy Affeldt,P,sfbb_playeridmap
6893,Colby Lewis,N/A,407890,Colby Lewis,P,sfbb_playeridmap
6899,Mark Ellis,N/A,407885,Mark Ellis,2B,sfbb_playeridmap
6901,Andres Torres,N/A,400083,Andres Torres,OF,sfbb_playeridmap
6910,Erik Bedard,N/A,407853,Erik Bedard,P,sfbb_playeridmap
6913,Brad Lidge,N/A,400058,Brad Lidge,P,sfbb_playeridmap
6920,Ryan Langerhans,N/A,407798,Ryan Langerhans,OF,sfbb_playeridmap
6922,Fernando Rodney,WAS,407845,Fernando Rodney,P,sfbb_playeridmap
6930,Ty Wigginton,N/A,421064,Ty Wigginton,1B,sfbb_playeridmap
6933,Ramon Santiago,N/A,421124,Ramon Santiago,SS,sfbb_playeridmap
6936,Aaron Harang,N/A,421685,Aaron Harang,P,sfbb_playeridmap
6945,Oliver Perez,N/A,424144,Oliver Perez,P,sfbb_playeridmap
6953,John Lackey,N/A,407793,John Lackey,P,sfbb_playeridmap
6956,David Ross,N/A,424325,David Ross,C,sfbb_playeridmap
6966,Marco Scutaro,N/A,340192,Marco Scutaro,2B,sfbb_playeridmap
6968,Wil Nieves,N/A,408242,Wil Nieves,C,sfbb_playeridmap
6980,Travis Hafner,N/A,400098,Travis Hafner,DH,sfbb_playeridmap
6981,Aaron Cook,N/A,346871,Aaron Cook,P,sfbb_playeridmap
6983,Coco Crisp,N/A,424825,Coco Crisp,OF,sfbb_playeridmap
6986,Chone Figgins,N/A,408210,Chone Figgins,3B,sfbb_playeridmap
6992,Bill Hall,N/A,407849,Bill Hall,2B,sfbb_playeridmap
6995,Pedro Feliciano,N/A,408230,Pedro Feliciano,P,sfbb_playeridmap
6999,Freddy Sanchez,N/A,408108,Freddy Sanchez,SS,sfbb_playeridmap
7016,Omar Infante,N/A,408299,Omar Infante,2B,sfbb_playeridmap
7024,Jamey Carroll,N/A,425206,Jamey Carroll,SS,sfbb_playeridmap
7026,Cliff Lee,N/A,424324,Cliff Lee,P,sfbb_playeridmap
7028,Miguel Olivo,N/A,400018,Miguel Olivo,C,sfbb_playeridmap
7029,Francisco Rodriguez,N/A,408061,Francisco Rodriguez,P,sfbb_playeridmap
7040,Jeremy Guthrie,N/A,425386,Jeremy Guthrie,P,sfbb_playeridmap
7041,Jeff Baker,N/A,425557,Jeff Baker,1B,sfbb_playeridmap
7042,Hideki Matsui,N/A,425686,Hideki Matsui,OF,sfbb_playeridmap
7043,Jose Contreras,N/A,425747,Jose Contreras,P,sfbb_playeridmap
7046,Scott Hairston,N/A,430668,Scott Hairston,OF,sfbb_playeridmap
7047,Chad Tracy,N/A,429710,Chad Tracy,3B,sfbb_playeridmap
7048,Adam Wainwright,STL,425794,Adam Wainwright,P,sfbb_playeridmap
7049,Kevin Youkilis,N/A,425903,Kevin Youkilis,3B,sfbb_playeridmap
7053,Cody Ross,N/A,425496,Cody Ross,OF,sfbb_playeridmap
7054,Adrian Gonzalez,N/A,408236,Adrian Gonzalez,1B,sfbb_playeridmap
7056,John Buck,N/A,407833,John Buck,C,sfbb_playeridmap
7061,Lew Ford,N/A,217915,Lew Ford,OF,sfbb_playeridmap
7062,Joe Mauer,N/A,408045,Joe Mauer,1B,sfbb_playeridmap
7063,Justin Morneau,N/A,408047,Justin Morneau,DH,sfbb_playeridmap
7066,Jose Reyes,N/A,408314,Jose Reyes,SS,sfbb_playeridmap
7071,Ryan Madson,N/A,425492,Ryan Madson,P,sfbb_playeridmap
7072,Chase Utley,N/A,400284,Chase Utley,2B,sfbb_playeridmap
7073,Sean Burnett,N/A,430634,Sean Burnett,P,sfbb_playeridmap
7076,Vinnie Chulk,N/A,425562,Vinnie Chulk,P,sfbb_playeridmap
7079,Javier Lopez,N/A,425657,Javier Lopez,P,sfbb_playeridmap
7080,Luis Ayala,N/A,425646,Luis Ayala,P,sfbb_playeridmap
7088,D.J. Carrasco,N/A,425647,D.J. Carrasco,P,sfbb_playeridmap
7089,Ronny Paulino,N/A,425661,Ronny Paulino,C,sfbb_playeridmap
7104,Shane Victorino,N/A,425664,Shane Victorino,OF,sfbb_playeridmap
7106,Jeremy Bonderman,N/A,425827,Jeremy Bonderman,P,sfbb_playeridmap
7118,Reed Johnson,N/A,407862,Reed Johnson,OF,sfbb_playeridmap
7121,Brandon Webb,N/A,425630,Brandon Webb,P,sfbb_playeridmap
7129,Gerald Laird,N/A,408042,Gerald Laird,C,sfbb_playeridmap
7132,Chris Capuano,N/A,425626,Chris Capuano,P,sfbb_playeridmap
7133,Dontrelle Willis,N/A,425883,Dontrelle Willis,P,sfbb_playeridmap
7143,Jason Bay,N/A,424726,Jason Bay,OF,sfbb_playeridmap
7145,Garrett Atkins,N/A,425548,Garrett Atkins,3B,sfbb_playeridmap
7151,Jose Valverde,N/A,407878,Jose Valverde,P,sfbb_playeridmap
7156,Jhonny Peralta,N/A,425509,Jhonny Peralta,3B,sfbb_playeridmap
7163,Miguel Cabrera,DET,408234,Miguel Cabrera,DH,sfbb_playeridmap
7172,Dan Haren,N/A,429717,Dan Haren,P,sfbb_playeridmap
7176,Laynce Nix,N/A,425556,Laynce Nix,OF,sfbb_playeridmap
7178,Kevin Correia,N/A,429781,Kevin Correia,P,sfbb_playeridmap
7180,Rich Harden,N/A,425848,Rich Harden,P,sfbb_playeridmap
7184,Matt Diaz,N/A,429841,Matt Diaz,OF,sfbb_playeridmap
7199,Chad Gaudin,N/A,429985,Chad Gaudin,P,sfbb_playeridmap
7205,J.J. Putz,N/A,407816,J.J. Putz,P,sfbb_playeridmap
7206,Kevin Gregg,N/A,276514,Kevin Gregg,P,sfbb_playeridmap
7207,Michael Gonzalez,N/A,283166,Michael Gonzalez,P,sfbb_playeridmap
7209,Neal Cotts,N/A,425840,Neal Cotts,P,sfbb_playeridmap
7212,Matt Thornton,N/A,407819,Matt Thornton,P,sfbb_playeridmap
7213,Rickie Weeks,N/A,430001,Rickie Weeks,DH,sfbb_playeridmap
7228,Aaron Miles,N/A,425446,Aaron Miles,2B,sfbb_playeridmap
7231,Clint Barmes,N/A,425549,Clint Barmes,SS,sfbb_playeridmap
7232,David DeJesus,N/A,430203,David DeJesus,OF,sfbb_playeridmap
7235,Humberto Quintero,N/A,279827,Humberto Quintero,C,sfbb_playeridmap
7240,Matt Belisle,N/A,279571,Matt Belisle,P,sfbb_playeridmap
7241,Edwin Jackson,ARI,429719,Edwin Jackson,P,sfbb_playeridmap
7245,Jonny Gomes,N/A,430404,Jonny Gomes,OF,sfbb_playeridmap
7250,Kazuo Matsui,N/A,430565,Kazuo Matsui,2B,sfbb_playeridmap
7253,Adam LaRoche,N/A,425560,Adam LaRoche,1B,sfbb_playeridmap
7254,Alex Rios,N/A,425567,Alex Rios,OF,sfbb_playeridmap
7256,Grady Sizemore,N/A,429713,Grady Sizemore,OF,sfbb_playeridmap
7257,Zack Greinke,KC,425844,Zack Greinke,P,sfbb_playeridmap
7264,Jose Bautista,N/A,430832,Jose Bautista,3B,sfbb_playeridmap
7276,Dioner Navarro,TOR,425900,Dioner Navarro,C,sfbb_playeridmap
7278,Edwin Encarnacion,CHW,429665,Edwin Encarnacion,DH,sfbb_playeridmap
7279,Jesse Crain,N/A,430884,Jesse Crain,P,sfbb_playeridmap
7281,Jorge De La Rosa,N/A,407822,Jorge De La Rosa,P,sfbb_playeridmap
7283,J.J. Hardy,N/A,429666,J.J. Hardy,SS,sfbb_playeridmap
7285,Bobby Jenks,N/A,408057,Bobby Jenks,P,sfbb_playeridmap
7290,Prince Fielder,N/A,425902,Prince Fielder,DH,sfbb_playeridmap
7292,Scott Kazmir,N/A,431148,Scott Kazmir,P,sfbb_playeridmap
7293,Casey Kotchman,N/A,425773,Casey Kotchman,1B,sfbb_playeridmap
7294,Dustin McGowan,MIA,430661,Dustin McGowan,P,sfbb_playeridmap
